model,best_score,best_params
RandomForest,0.841723683384596,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}"
SVC,0.8327537505492437,"{'model__C': 1, 'model__gamma': 0.3}"
DecisionTree,0.8271483271608812,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2}"
KNN,0.8215491808423827,"{'model__n_neighbors': 11, 'model__p': 1}"
LogReg,0.8058439520431863,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'liblinear'}"
GaussianNB,0.7991023790094784,{'model__var_smoothing': np.float64(1e-11)}
Voting(RandomForest+SVC+DecisionTree),0.8338710689849979,"{'RandomForest': {'memory': None, 'steps': [('model', RandomForestClassifier(max_depth=12, min_samples_split=10, n_estimators=200,
                       n_jobs=-1, random_state=0))], 'transform_input': None, 'verbose': False, 'model': RandomForestClassifier(max_depth=12, min_samples_split=10, n_estimators=200,
                       n_jobs=-1, random_state=0), 'model__bootstrap': True, 'model__ccp_alpha': 0.0, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': None, 'model__max_samples': None, 'model__min_impurity_decrease': 0.0, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__min_weight_fraction_leaf': 0.0, 'model__monotonic_cst': None, 'model__n_estimators': 200, 'model__n_jobs': -1, 'model__oob_score': False, 'model__random_state': 0, 'model__verbose': 0, 'model__warm_start': False}, 'SVC': {'memory': None, 'steps': [('scaler', StandardScaler()), ('model', SVC(C=1, gamma=0.3))], 'transform_input': None, 'verbose': False, 'scaler': StandardScaler(), 'model': SVC(C=1, gamma=0.3), 'scaler__copy': True, 'scaler__with_mean': True, 'scaler__with_std': True, 'model__C': 1, 'model__break_ties': False, 'model__cache_size': 200, 'model__class_weight': None, 'model__coef0': 0.0, 'model__decision_function_shape': 'ovr', 'model__degree': 3, 'model__gamma': 0.3, 'model__kernel': 'rbf', 'model__max_iter': -1, 'model__probability': False, 'model__random_state': None, 'model__shrinking': True, 'model__tol': 0.001, 'model__verbose': False}, 'DecisionTree': {'memory': None, 'steps': [('model', DecisionTreeClassifier(max_depth=3, min_samples_leaf=4, random_state=0))], 'transform_input': None, 'verbose': False, 'model': DecisionTreeClassifier(max_depth=3, min_samples_leaf=4, random_state=0), 'model__ccp_alpha': 0.0, 'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 3, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_impurity_decrease': 0.0, 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__min_weight_fraction_leaf': 0.0, 'model__monotonic_cst': None, 'model__random_state': 0, 'model__splitter': 'best'}}"
